,Car,Quantity,Mean_Price,Mean_EngV,Mean_Mileage
0,Acura,13,18554,3,112
1,Alfa Romeo,11,9041,2,195
2,Aro,1,3600,1,43
3,Aston Martin,3,105000,6,22
4,Audi,442,18490,3,182
5,BMW,666,23499,3,176
6,BYD,7,8114,2,49
7,Bentley,15,210672,6,82
8,Bogdan,2,4950,2,220
9,Buick,1,3500,3,190
10,Cadillac,3,70833,6,56
11,Chery,53,4405,2,96
12,Chevrolet,243,10289,2,113
13,Chrysler,26,10293,3,158
14,Citroen,106,8370,2,134
15,Dacia,11,5077,1,126
16,Dadi,2,5550,2,92
17,Daewoo,230,3803,1,129
18,Daihatsu,3,6600,1,111
19,Dodge,13,18254,4,162
20,FAW,1,4900,2,37
21,Ferrari,2,167500,4,10
22,Fiat,116,6628,2,167
23,Ford,336,10341,2,134
24,GAZ,27,3767,3,97
25,GMC,2,26499,4,115
26,Geely,56,6254,2,64
27,Great Wall,8,8312,2,82
28,Groz,2,4400,2,100
29,Hafei,1,6100,2,91
30,Honda,204,13656,2,125
31,Huanghai,1,8500,2,90
32,Hummer,5,28440,5,94
33,Hyundai,362,12629,2,92
34,Infiniti,63,27852,3,92
35,Isuzu,1,13960,2,122
36,JAC,2,8350,2,25
37,Jaguar,18,25919,3,105
38,Jeep,25,25648,3,129
39,Kia,214,12273,2,110
40,Lamborghini,1,130000,5,20
41,Lancia,2,2475,2,146
42,Land Rover,138,55320,4,97
43,Lexus,168,28734,4,129
44,Lifan,4,3800,1,52
45,Lincoln,6,16500,5,150
46,MG,4,9150,2,52
47,MINI,15,17668,2,80
48,Maserati,1,110000,5,11
49,Mazda,193,10374,2,128
50,Mercedes-Benz,842,30650,3,183
51,Mercury,1,10000,5,237
52,Mitsubishi,322,11312,2,140
53,Moskvich-AZLK,10,800,2,89
54,Moskvich-Izh,4,1192,2,128
55,Nissan,365,14216,2,105
56,Opel,395,6333,2,195
57,Peugeot,180,8802,2,145
58,Porsche,83,50552,4,77
59,Renault,456,8035,2,157
60,Rolls-Royce,1,130000,7,43
61,Rover,4,12512,2,164
62,SMA,1,2900,2,150
63,Saab,1,7000,2,210
64,Samand,2,4750,2,100
65,Samsung,1,6299,2,131
66,Seat,39,8414,2,141
67,Skoda,362,10866,2,128
68,Smart,57,6770,1,96
69,SsangYong,45,14252,2,91
70,Subaru,112,14121,2,129
71,Suzuki,56,10939,2,102
72,TATA,1,12900,2,75
73,Tesla,19,86779,1,16
74,Toyota,522,22615,3,119
75,UAZ,18,4718,3,61
76,VAZ,479,2888,2,103
77,Volkswagen,908,13125,2,168
78,Volvo,32,18587,2,160
79,Wartburg,1,1000,1,90
80,ZAZ,100,3217,1,96
81,ZX,1,7700,2,249
82,Ã‹UAZ,5,2709,1,45
